Year,Trade type,State,Merchandise,Partner country,Geographic level 1,Geographic level 2,Geographic level 3,Sector,Expenditure in thousands
2016,Total Exports,New South Wales, Live animals (excl seafood),Lebanon,Asia,Middle East,Other Middle East,"Agriculture, forestry & fisheries",5.4
2016,Total Exports,New South Wales, Live animals (excl seafood),Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,"Agriculture, forestry & fisheries",3
2016,Total Exports,New South Wales," Beef, f.c.f.",Lebanon,Asia,Middle East,Other Middle East,"Agriculture, forestry & fisheries",2210.89
2016,Total Exports,New South Wales," Beef, f.c.f.",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,"Agriculture, forestry & fisheries",3.406
2016,Total Exports,New South Wales," Meat (excl beef), f.c.f.",Lebanon,Asia,Middle East,Other Middle East,"Agriculture, forestry & fisheries",338.568
2016,Total Exports,New South Wales," Meat (excl beef), f.c.f.",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,"Agriculture, forestry & fisheries",38.749
2016,Total Exports,New South Wales," Meat, prepared or preserved",Northern Mariana Islands,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,"Agriculture, forestry & fisheries",966.628
2016,Total Exports,New South Wales," Milk, cream, whey & yoghurt",Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,"Agriculture, forestry & fisheries",8.025
2016,Total Exports,New South Wales, Cheese & curd,Lebanon,Asia,Middle East,Other Middle East,"Agriculture, forestry & fisheries",411.744
2016,Total Exports,New South Wales, Wheat flour,Northern Mariana Islands,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,"Agriculture, forestry & fisheries",247.191
2016,Total Exports,New South Wales, Cereal preparations,Lebanon,Asia,Middle East,Other Middle East,"Agriculture, forestry & fisheries",5.351
2016,Total Exports,New South Wales, Cereal preparations,Norfolk Island,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,"Agriculture, forestry & fisheries",8.455
2016,Total Exports,New South Wales, Cereal preparations,Northern Mariana Islands,Oceania & Antarctica,Pacific Islands,Other Pacific Islands,"Agriculture, forestry & fisheries",15.335
2016,Total Exports,New South Wales, Cereal preparations,Norway,Europe,Northern & Western Europe,Northern Europe,"Agriculture, forestry & fisheries",6.512
2016,Total Exports,New South Wales," Vegetables, f.c.f.",Lebanon,Asia,Middle East,Other Middle East,"Agriculture, forestry & fisheries",551.097
