Partner_country,Count_imports,sum_exp
Afghanistan,28,298.626
Albania,50,2471.814
Algeria,9,370361.328
American Samoa,39,13137.248
Angola,8,13065.835
Anguilla,2,2.834
Antarctica,3,89.777
Antigua & Barbuda,9,871.73
Argentina,279,666625.989
Armenia,22,311.935
Australia,841,906361.887
Austria,680,1442496.764
Azerbaijan,9,279.198
Bahamas,9,2543.873
Bahrain,39,59720.269
Bangladesh,200,886531.645
Barbados,14,2321.528
Belarus,44,3075.699
Belgium,814,1700355.177
Belize,31,805.431
Benin,2,8.289
Bermuda,2,289.897
Bhutan,5,1042.27
Bolivia,47,13714.907
Bosnia-Herzegovina,101,26660.955
Botswana,11,1077.923
Brazil,580,753439.276
British Indian Ocean Territory,1,12.649
Brunei,19,315247.835
Bulgaria,325,70557.328
Burkina Faso,3,23.079
Burundi,4,500.417
Cabo Verde,3,115.992
Cambodia,149,213057.321
Cameroon,26,762.727
Canada,898,2101398.953
Cayman Islands,10,927.691
Central African Republic,1,3.789
Chad,7,25.491
Chile,271,532703.772
China,1389,59373125.11
Christmas Island,12,2852.112
Cocos Keeling Islands,14,73.919
Colombia,186,76195.866
Comoros,3,14.679
Cook Islands,15,697.468
Costa Rica,131,114175.595
Cote d'Ivoire,19,20517.659
Croatia,266,31138.088
Cuba,19,11440.816
Cyprus,98,27777.634
Czech Republic,559,752478.541
Democratic Republic of the Congo,10,238.466
Denmark,733,1210625.11
Djibouti,11,1159.267
Dominica,21,282.202
Dominican Republic,101,74748.149
Ecuador,117,29679.773
Egypt,184,34295.34
El Salvador,77,10589.019
Equatorial Guinea,2,86642.261
Eritrea,10,31.508
Estonia,228,73153.035
Ethiopia,50,24309.357
Falkland Islands,5,32.247
Federated States of Micronesia,2,13.55
Fiji,238,190445.315
Finland,572,764625.182
France,1024,4510732.247
French Antilles,36,704.217
French Polynesia,25,1763.213
FYR Macedonia,97,8649.338
Gabon,10,603638.251
Gambia,2,9.321
Georgia,79,3879.143
Germany,1179,13523821.98
Ghana,80,10101.124
Gibraltar,6,22.801
Greece,418,211082.785
Grenada,3,98.559
Guam,19,253.318
Guatemala,61,18198.948
Guinea,10,104.508
Guyana,7,391.382
Haiti,30,2288.862
Honduras,61,26232.009
Hong Kong (SAR of China),756,921602.564
Hungary,471,584379.658
Iceland,113,16114.598
India,1014,4364583.063
Indonesia,902,4907151.139
International Waters,3,22.6
Iran,232,85977.845
Iraq,17,89.728
Ireland,510,2730538.408
Israel,566,794866.926
Italy,1081,5899325.316
Jamaica,20,2207.375
Japan,993,19583099.43
Jordan,108,30404.447
Kazakhstan,10,1974.102
Kenya,89,30294.422
Kiribati,3,209.598
Kuwait,34,19973.686
Kyrgyzstan,5,53.251
Laos,45,11350.101
Latvia,197,18032.191
Lebanon,166,17500.884
Lesotho,17,1106.65
Liberia,10,53.55
Libya,1,2.8
Lithuania,260,48683.794
Luxembourg,136,21789.859
Macau (SAR of China),100,16670.346
Madagascar,65,10083.076
Malawi,2,40.081
Malaysia,982,9315259.564
Maldives,14,1552.482
Mali,31,4332.008
Malta,96,23281.136
Marshall Islands,19,602.555
Mauritania,13,210.526
Mauritius,111,26583.131
Mexico,632,2505609.068
Moldova,41,1229.668
Mongolia,42,1709.509
Montenegro,14,425.765
Montserrat,8,52.913
Morocco,197,66020.12
Mozambique,20,1120.57
Myanmar,205,32564.782
Namibia,38,10026.874
Nauru,16,6331.151
Nepal,144,8264.206
Netherlands,993,2263411.996
Netherlands Antilles,9,341.264
New Caledonia,114,29990.574
New Zealand,1061,7547552.075
Nicaragua,54,21538.31
Niger,54,1641.183
Nigeria,44,1210.498
Niue,8,78.782
No Country Details,61,-0.004
Norfolk Island,7,97.576
Northern Mariana Islands,2,4.197
Norway,525,319122.081
Oman,69,47151.453
Pakistan,335,347242.279
Palau,2,7.61
Panama,39,5670.777
Papua New Guinea,201,3556672.722
Paraguay,27,4306.008
Peru,249,352514.732
Philippines,598,777656.732
Pitcairn Islands,2,14.902
Poland,656,893069.912
Portugal,473,208706.118
Puerto Rico,96,330472.49
Qatar,69,342974.78
Republic of Congo,11,268559.762
Republic of Korea,971,10929615.6
Reunion,19,224.812
Romania,363,251419.014
Russian Federation,274,219204.257
Rwanda,6,1527.286
Samoa,83,32948.605
Sao Tome & Principe,13,146.325
Saudi Arabia,189,435207.904
Senegal,20,2335.347
Serbia,192,46805.567
Seychelles,18,2016.013
Sierra Leone,97,2385.069
Singapore,934,6989026.484
Slovak Republic,345,328303.191
Slovenia,370,135798.465
Solomon Islands,45,9607.252
Somalia,6,481.178
South Africa,804,1059678.352
South Sudan,6,45.252
Spain,878,2091776.816
Sri Lanka,384,223388.186
